Date,Close
2015-08-14,59.26
2015-08-17,59.29
2015-08-18,58.94
2015-08-19,58.53
2015-08-20,57.82
2015-08-21,56.21
2015-08-24,54.52
2015-08-25,54.81
2015-08-26,55.89
2015-08-27,56.96
2015-08-28,57.13
2015-08-31,56.76
2015-09-01,55.53
2015-09-02,56.82
2015-09-03,57.61
2015-09-04,56.59
2015-09-08,57.16
2015-09-09,55.79
2015-09-10,55.89
2015-09-11,56.47
2015-09-14,56.09
2015-09-15,56.74
2015-09-16,57.12
2015-09-17,57.48
2015-09-18,56.57
2015-09-21,56.79
2015-09-22,57.13
2015-09-23,57.41
2015-09-24,56.95
2015-09-25,57.43
2015-09-28,55.41
2015-09-29,55.56
2015-09-30,56.13
2015-10-01,55.99
2015-10-02,56.62
2015-10-05,57.22
2015-10-06,55.7
2015-10-07,55.72
2015-10-08,56.48
2015-10-09,56.61
2015-10-12,57.17
2015-10-13,56.59
2015-10-14,56.09
2015-10-15,56.4
2015-10-16,56.94
2015-10-19,56.68
2015-10-20,56.6
2015-10-21,56.98
2015-10-22,59.23
2015-10-23,58.33
2015-10-26,58.31
2015-10-27,58.22
2015-10-28,58.12
2015-10-29,58.18
2015-10-30,58.11
2015-11-02,57.98
2015-11-03,57.31
2015-11-04,57.29
2015-11-05,57.62
2015-11-06,56.58
2015-11-09,56.43
2015-11-10,56.66
2015-11-11,57.13
2015-11-12,56.2
2015-11-13,55.81
2015-11-16,57.11
2015-11-17,56.19
2015-11-18,57.17
2015-11-19,56.91
2015-11-20,56.75
2015-11-23,57.81
2015-11-24,57.97
2015-11-25,58.24
2015-11-27,58.41
2015-11-30,57.76
2015-12-01,58.26
2015-12-02,57.79
2015-12-03,57.27
2015-12-04,58.52
2015-12-07,58.58
2015-12-08,59.01
2015-12-09,58.58
2015-12-10,58.78
2015-12-11,58.1
2015-12-14,58.43
2015-12-15,58.55
2015-12-16,59.19
2015-12-17,57.23
2015-12-18,56.94
2015-12-21,57.41
2015-12-22,58.41
2015-12-23,58.92
2015-12-24,58.72
2015-12-28,58.58
2015-12-29,58.88
2015-12-30,58.56
2015-12-31,57.66
2016-01-04,57.46
2016-01-05,57.2
2016-01-06,56.73
2016-01-07,55.11
2016-01-08,55.29
2016-01-11,55.91
2016-01-12,56.37
2016-01-13,55.3
2016-01-14,55.35
2016-01-15,54.74
2016-01-19,55.42
2016-01-20,54.56
2016-01-21,54.12
2016-01-22,55.33
2016-01-25,54.8
2016-01-26,55.13
2016-01-27,54.94
2016-01-28,55.21
2016-01-29,56.51
2016-02-01,56.67
2016-02-02,55.8
2016-02-03,55.67
2016-02-04,55.12
2016-02-05,55.37
2016-02-08,55.72
2016-02-09,55.94
2016-02-10,56.09
2016-02-11,55.98
2016-02-12,56.89
2016-02-16,57.66
